Cuidad,Departamento,Habitantes
ARMSTRONG,Belgrano, 13.277 
BOUQUET,Belgrano, 1.573 
LAS PAREJAS,Belgrano, 14.817 
LAS ROSAS,Belgrano, 15.415 
MONTES DE OCA,Belgrano, 3.080 
TORTUGAS,Belgrano, 2.735 
AREQUITO,Caseros, 7.079 
ARTEAGA,Caseros, 3.728 
BERABEVU,Caseros, 2.351 
BIGAND,Caseros, 5.665 
CASILDA,Caseros, 39.520 
CHABAS,Caseros, 7.464 
CHAÑAR LADEADO,Caseros, 5.849 
GODEKEN,Caseros, 1.857 
LOS MOLINOS,Caseros, 1.970 
LOS QUIRQUINCHOS,Caseros, 2.561 
SAN JOSE DE LA ESQUINA,Caseros, 7.550 
SANFORD,Caseros, 1.874 
VILLADA,Caseros, 1.304 
ALDAO 1,Castellanos, 2.276 
ANGELICA,Castellanos, 1.642 
ATALIVA,Castellanos, 2.268 
AURELIA,Castellanos, 305 
BAUER Y SIGEL,Castellanos, 460 
BELLA ITALIA,Castellanos, 2.010 
CASTELLANOS L,Castellanos, 383 
COLONIA BICHA,Castellanos, 436 
COLONIA BIGAND,Castellanos, 239 
COLONIA CELLO,Castellanos, 277 
COLONIA ITURRASPE,Castellanos, 9 
COLONIA MARGARITA,Castellanos, 457 
COLONIA RAQUEL,Castellanos, 561 
CORONEL FRAGA,Castellanos, 461 
EGUSQUIZA,Castellanos, 535 
ESMERALDA,Castellanos, 1.028 
ESTACION CLUCELLAS,Castellanos, 1.036 
EUSEBIA Y CAROLINA,Castellanos, 998 
EUSTOLIA,Castellanos, 130 
FIDELA,Castellanos, 166 
FRONTERA,Castellanos, 12.398 
GALISTEO,Castellanos, 300 
GARIBALDI,Castellanos, 377 
HUGENTOBLER,Castellanos, 229 
HUMBERTO PRIMO,Castellanos, 5.673 
JOSEFINA,Castellanos, 3.312 
LEHMANN,Castellanos, 3.615 
MARIA JUANA,Castellanos, 5.692 
MAUA,Castellanos, 65 
PLAZA CLUCELLAS,Castellanos, 1.874 
PLAZA SAGUIER,Castellanos, 558 
PRESIDENTE ROCA,Castellanos, 1.165 
PUEBLO MARINI,Castellanos, 229 
RAFAELA,Castellanos, 107.004 
RAMONA,Castellanos, 2.270 
SAN ANTONIO,Castellanos, 438 
SAN VICENTE,Castellanos, 7.103 
SANTA CLARA DE SAGUIER,Castellanos, 2.520 
SUNCHALES,Castellanos, 24.944 
SUSANA,Castellanos, 1.514 
TACURAL,Castellanos, 1.625 
TACURALES,Castellanos, 624 
VILA,Castellanos, 1.778 
VILLA SAN JOSE,Castellanos, 422 
VIRGINIA,Castellanos, 262 
ZENON PEREYRA,Castellanos, 1.852 
ALCORTA,Constitución, 8.178 
BOMBAL,Constitución, 3.632 
CAÑADA RICA,Constitución, 722 
CEPEDA,Constitución, 471 
EMPALME VILLA CONSTITUCION,Constitución, 7.261 
GENERAL GELLY,Constitución, 677 
GODOY,Constitución, 1.439 
JUAN B. MOLINA,Constitución, 1.367 
JUNCAL,Constitución, 1.052 
LA VANGUARDIA,Constitución, 417 
MAXIMO PAZ,Constitución, 3.676 
PAVON,Constitución, 2.395 
PAVON ARRIBA,Constitución, 2.120 
PEYRANO,Constitución, 2.630 
RUEDA,Constitución, 622 
SANTA TERESA,Constitución, 3.226 
SARGENTO CABRAL,Constitución, 1.115 
THEOBALD,Constitución, 879 
VILLA CONSTITUCION,Constitución, 53.915 
CAYASTA,Garay, 5.377 
COLONIA MASCIAS,Garay, 1.589 
HELVECIA,Garay, 8.057 
SALADERO CABAL,Garay, 896 
SANTA ROSA DE CALCHINES,Garay, 7.241 
AARON CASTELLANOS,General Lopez, 261 
AMENABAR,General Lopez, 2.040 
CAFFERATA,General Lopez, 1.616 
CAÑADA DEL UCLE,General Lopez, 885 
CARMEN,General Lopez, 1.852 
CARRERAS,General Lopez, 1.953 
CHAPUY,General Lopez, 762 
CHOVET,General Lopez, 2.371 
CHRISTOPHERSEN,General Lopez, 741 
DIEGO DE ALVEAR,General Lopez, 2.071 
ELORTONDO,General Lopez, 6.140 
FIRMAT,General Lopez, 22.538 
HUGHES,General Lopez, 5.415 
LA CHISPA,General Lopez, 411 
LABORDEBOY,General Lopez, 1.005 
LAZZARINO,General Lopez, 478 
MAGGIOLO,General Lopez, 2.050 
MARIA TERESA,General Lopez, 4.123 
MELINCUE,General Lopez, 2.379 
MIGUEL TORRES,General Lopez, 451 
MURPHY,General Lopez, 4.235 
RUFINO,General Lopez, 20.598 
SAN EDUARDO,General Lopez, 1.051 
SAN FRANCISCO DE SANTA FE,General Lopez, 483 
SAN GREGORIO,General Lopez, 5.081 
SANCTI SPIRITU,General Lopez, 3.982 
